,User,Text,Date,Favorites,Retweets,Mentions,HashTags,Search Keywords
0,NYCD45,COVID-19 is getting annoying now go AWAY ALREADY DAMMMMMMM!!!!!,2020-04-29 23:55:18+00:00,0.0,1.0,,,covid
1,FleurSeule,Please join me Thursday for a great cause - Learn more about what we’re doing and reserve your spot: https://www.eventbrite.com/e/songs-for-sundara-a-global-virtual-concert-tickets-103751830518 #fundraising #Covid_19 #QuarantineLife #music,2020-04-29 23:52:51+00:00,0.0,2.0,,#fundraising #Covid_19 #QuarantineLife #music,covid
2,villalobosbros,THANK YOU FOR YOUR SUPPORT! You guys are amazing! Last 2 days to donate: http://bit.ly/FUND_VB #villalobosbrothers #hermanosvillalobos #violin #music #newyorkcity #mexico #covid_19 #friendship #brotherhood @Grand… https://www.instagram.com/p/B_lXIXknDio/?igshid=c8dd71ywwwmn,2020-04-29 23:52:34+00:00,0.0,0.0,,#villalobosbrothers #hermanosvillalobos #violin #music #newyorkcity #mexico #covid_19 #friendship #brotherhood,covid
3,skendell,Me to myself (out loud):”If wrestling with scripture were an Olympic event I’d be headed to Tokyo 2021. But my favorite part about this sport is there are no losers!” #faithdevelopmentinextremeisolation #covid #scripture #wrestlewithyourbible #Godcantakeit #TokyoOlympics,2020-04-29 23:52:04+00:00,0.0,6.0,,#faithdevelopmentinextremeisolation #covid #scripture #wrestlewithyourbible #Godcantakeit #TokyoOlympics,covid
4,tom_cozart,5 changes to expect in the workplace after COVID-19 ,2020-04-29 23:50:55+00:00,1.0,1.0,,,covid
5,imblvck__,"Due to COVID-19, NY has canceled its presidential primary election on 6/23. For details, visit https://www.elections.ny.gov.",2020-04-29 23:45:45+00:00,0.0,1.0,,,covid
6,danielle_fava,"I’m studying for my CFP and I’m on the insurance chapter. This is a sad reality, but if you know anyone who is hospitalized with COVID, make sure their family is paying their life insurance premiums Pass it on.",2020-04-29 23:37:14+00:00,17.0,94.0,,,covid
7,DiarrhaXo,Y am I watching every Covid-19 documentary? Why?,2020-04-29 23:35:31+00:00,0.0,0.0,,,covid
8,MarcieGPell,"Casal de amigos nossos que tiveram Covid, ela com mais seriedade que ele e ainda no oxigênio, em casa, receberam uma conta de CENTO E DEZ MIL DÓLARES. Por menos de uma semana no hospital. Absurdo.",2020-04-29 23:34:52+00:00,1286.0,11458.0,,,covid
9,PaulDunn0501,OMG! The White House Gift Shop is selling commemorative Covid-19 coins #wtf #waste #stupid #embarrassing #whitehousegiftshop https://www.whitehousegiftshop.com/product-p/covid-heroes.htm @POTUS,2020-04-29 23:34:12+00:00,0.0,0.0,@POTUS,#wtf #waste #stupid #embarrassing #whitehousegiftshop,covid
