,User,Text,Date,Favorites,Retweets,Mentions,HashTags,Search Keywords
0,oldschoolRUSH,A Paychic in my neighborhood just renewed her lease before COVID -19. How “Good” is she???? ,2020-06-29 23:55:16+00:00,0.0,0.0,,,covid
1,marctorrence,It’s important work! I applied after reading an article about how poll workers are older and could decide to stay home during COVID and lead to site closures. Lots of people didn’t get absentee ballots on time. Just maddening they can’t perform basic tasks Central to democracy,2020-06-29 23:51:25+00:00,0.0,1.0,,,covid
2,SergiyKyslytsya,"New York, once musicals capital of the world. Not anymore, but is there another one in the COVID era? In the meantime Broadway remains closed. No plans to open this year. Many shows do not expect a return to the stage until late winter 2021 or early spring. ",2020-06-29 23:48:47+00:00,0.0,6.0,,,covid
3,BSRC,A HUGE THANK YOU TO GBENGA AKINNAGBE'S LIBERATED PEOPLE AND COVID COURAGE FOR FOR WORK WITH THE BEDFORD STUYVESANT RESTORATION CENSUS TEAM AND FOR ASSISTING IN THE DISTRIBUTION OF FACE MASK ACROSS… https://www.instagram.com/p/CCCa4HmBLcI/?igshid=56swhxb4lhk4,2020-06-29 23:41:39+00:00,0.0,0.0,,,covid
4,TheNPSCG,The Impact of COVID-19 on the Nonprofit Sector NPSCG ,2020-06-29 23:39:31+00:00,0.0,1.0,,,covid
5,jsnwr,"43 NYPD members died of COVID-19, do y’all just not care? Or do y’all genuinely not understand or believe why wearing masks and maintaining distance helps? Why would I trust these people to care about saving lives in my own community?",2020-06-29 23:28:06+00:00,0.0,3.0,,,covid
6,AmBeautifulShow,"Yes most GOP states have high unexpected mortality rates extremely likely to be from #COVID19 #coronavirus such as Florida who would've expected 918 pneumonia deaths having over 5,000 in the last 5 months plus sepsis and other known effects of #COVID as cause of death. @ABC @CNN",2020-06-29 23:27:58+00:00,0.0,0.0,@ABC @CNN,#COVID19 #coronavirus #COVID,covid
7,sweeneytime,Inside Edition just did an expose about Hotel cleaning during Covid-19. Trump International doesn’t change sheets or wipe down remotes. Trump Hotel claims fake news. #notsurprised #trumphotelisdirty.,2020-06-29 23:20:23+00:00,0.0,1.0,,#notsurprised #trumphotelisdirty,covid
8,Lindasantangel1,Really...... Gross !! #Hotels are germ invested #coronavirus #Covid_19 #hyatt #hamptoninn #nyc #NewYork #askmymayor #askcuomo,2020-06-29 23:15:37+00:00,0.0,1.0,,#Hotels #coronavirus #Covid_19 #hyatt #hamptoninn #nyc #NewYork #askmymayor #askcuomo,covid
9,pedro2nd,"Being in the wrong place at the wrong time. Luckily he’s COVID-19 negative! @Brooklyn, New York https://www.instagram.com/p/CCCXtTVjgW_/?igshid=hugx7ttelwi5",2020-06-29 23:13:57+00:00,0.0,0.0,,,covid
