,User,Text,Date,Favorites,Retweets,Mentions,HashTags,Search Keywords
0,DrByersDNP,"Anti-Black racism and COVID-19: Concurrent, intertwined pandemics. ",2020-05-30 23:49:52+00:00,2.0,1.0,,,covid
1,stevehouf,So this is how the US moved on from Covid ,2020-05-30 23:49:24+00:00,0.0,0.0,,,covid
2,watergatesummer,I didn't go protesting today. But my heart was there...but..my son lectured me...about covid risks &amp; recovery. He was right...but my heart was there...and is there...I am angry...I hurt that this country is so broken....on so many levels..( I still want to protest..),2020-05-30 23:44:14+00:00,1.0,17.0,,,covid
3,Tygss,"All the death this year by COVID and now more civil and social upheaval. I feel crushed but I have to be brave. ""Hang on to the world as it spins around"" yes Donny Hathaway i get it",2020-05-30 23:34:17+00:00,0.0,1.0,,,covid
4,philswib,NEWS: @HudsonDems Chair @Amy_DeGise announces that Hudson’s full legislative delegation supports @GovMurphy’s COVID-19 emergency borrowing plan ,2020-05-30 23:33:43+00:00,3.0,17.0,@HudsonDems @Amy_DeGise @GovMurphy,,covid
5,vergilophile,Thread on how to keep yourself/others safe while protesting during COVID ,2020-05-30 23:31:21+00:00,2.0,9.0,,,covid
6,jesskwphoto,this is my block. I am so proud of the protests happening. Me and my injured foot and covid high risk partner are wishing we could participate ,2020-05-30 23:22:58+00:00,0.0,9.0,,,covid
7,evolsb,https://youtu.be/L-qnVT36868 Epic NYC rooftop concert right now by @davidguetta raising $1 million for COVID. And a needed call-out for #Floyd . Be safe everyone. #unitedathome,2020-05-30 23:22:10+00:00,0.0,0.0,@davidguetta,#Floyd #unitedathome,covid
8,dondidonde,"#clapbecausewecarenyc #clapbecausewecare #queens #covid_19 #covid19 #openthecountry #coronavirus @Queens, New York https://www.instagram.com/p/CA1HCTDH1Ax/?igshid=bex8g88qk2m3",2020-05-30 23:06:46+00:00,0.0,2.0,,#clapbecausewecarenyc #clapbecausewecare #queens #covid_19 #covid19 #openthecountry #coronavirus,covid
9,sarahdvojack,I mean I’ve been COVID Laid Off. I’ve got masks. I’ve got time. I’m ready for an 1812 on the capitol.,2020-05-30 23:05:13+00:00,0.0,5.0,,,covid
10,_pedrov3,"Two subways to go protest, one subway to clock in and fight covid. 2020 has been a crazy year!",2020-05-30 23:03:05+00:00,0.0,7.0,,,covid
11,Elah_Avahati,"Covid-19 has been canceled, now we're riding the ""protest"" wave. @BretBaier @BillHemmer @SandraSmithFox @marthamaccallum @ShannonBream",2020-05-30 22:55:57+00:00,0.0,0.0,@BretBaier @BillHemmer @SandraSmithFox @marthamaccallum @ShannonBream,,covid
